13963	6671	
23656	5859	
28169	10856	
20500	1374	
24774	6255	
17783	18473	
3789	19008	
22728	11249	
200	17439	
4981	12222	
13550	20393	
511	17958	
6277	29670	
4566	5999	
23110	7435	
7693	28194	
19532	4348	
12778	4059	
21640	1150	
6220	541	
15589	922	
9193	21490	
26051	4253	
4675	28592	
9938	12684	
17607	23303	
11420	8485	
15906	25559	
28383	10737	
3071	10479	
1925	26390	
5729	13808	
28130	15593	
9130	4416	
28618	18432	
22854	12122	
9581	23830	
5399	2114	
3904	28807	
24893	2806	
8953	8507	
5074	10321	
2727	12496	
223	26265	
9355	20063	
8255	136	
10327	12529	
22638	10487	
25249	21355	
29709	11734	
21155	23876	
14485	3113	
12883	6935	
116	6829	
8938	13859	
10953	14296	
9828	19888	
27369	12701	
7843	13629	
29132	6351	
23023	22693	
17527	16461	
5934	80	
1702	9244	
15020	6453	
19254	28130	
1383	15372	
19772	23310	
2746	17937	
20550	24054	
18628	5430	
21084	4552	
24884	16448	
7201	17842	
10980	8177	
5996	13260	
1007	24966	
26638	20259	
21679	17894	
18559	9969	
15623	5771	
16522	20408	
5226	28781	
13905	24430	
25575	14777	
23102	16625	
12114	18209	
28440	28555	
9343	13918	
7614	21105	
2221	5520	
11123	5526	
8893	13526	
28006	5485	
16782	25880	
18764	20539	
17463	20801	
27821	28267	
4752	18011	
7960	23579	
4189	21091	
28099	5155	
8247	17339	
23027	20374	
9097	2846	
7652	2289	
22068	25742	
11349	21344	
28096	24569	
11684	25696	
11039	29338	
24865	28015	
27823	24460	
1138	25295	
6525	24937	
25043	4154	
16832	2817	
13319	24912	
11513	29814	
20255	15547	
25877	10516	
16950	4707	
12764	3534	
15431	21150	
24953	15971	
23467	5183	
18710	3968	
18323	19423	
5588	19775	
4830	25257	
6964	10733	
13031	25551	
11893	29545	
25727	25595	
5754	22199	
28914	21136	
22455	1861	
12024	7918	
16600	15365	
19643	20612	
2686	11545	
6448	6239	
14775	16077	
804	18417	
26089	26974	
12436	10349	
16282	5273	
24089	24079	
18015	17006	
9310	27209	
15648	25138	
14015	4439	
22532	27236	
1488	4004	
10190	17271	
24727	18693	
11667	8990	
27959	11108	
790	28871	
17626	16919	
1426	29854	
15578	22862	
5780	18898	
19836	6204	
18979	26068	
28281	8829	
26109	6875	
18106	28438	
20655	29189	
26608	15737	
10176	6168	
3982	22359	
21466	11735	
15363	12896	
15943	28528	
5159	3463	
1860	2306	
4866	1521	
27492	4011	
3300	27596	
17620	29232	
29220	26299	
1206	26406	
13816	19551	
16828	28796	
3501	24658	
29507	12604	
1636	27293	
410	10135	
14537	14698	
285	11773	
9441	7587	
12674	18718	
4304	5001	
16127	3626	
16517	11793	
23574	2804	
19394	29993	
13711	102	
15803	24824	
17504	29230	
4314	24547	
28795	10550	
14381	1739	
24196	25490	
17197	5908	
